Marks out of 10?,Would you meet again?
"I'd say 7.Would you meet again? Probably not. It was a lovely evening, but we didn't have that much in common and there wasn't any spark","Probably not. It was a lovely evening, but we didn't have that much in common and there wasn't any spark"
"9.Would you meet again? I'd be up for it. I had lots of fun, much more than I thought I was going to","I'd be up for it. I had lots of fun, much more than I thought I was going to"
"10. Kathy's an amazing girl and there was never a dull moment.Would you meet again? Definitely.• Kathy and Bart ate at Giraffe, London W1. Fancy a blind date? Email: blind.date@theguardian.com","Definitely.• Kathy and Bart ate at Giraffe, London W1. Fancy a blind date? Email: blind.date@theguardian.com"
"8 – I had an excellent evening, but he's not really my type.Would you meet again? I'd certainly be up for hanging out, but just as friends. I'd like to see his band, too – I think I could get on board with this electro cowboy folk thing","I'd certainly be up for hanging out, but just as friends. I'd like to see his band, too – I think I could get on board with this electro cowboy folk thing"
"7.Would you meet again? Perhaps, but I can't see it as more than friends, I'm afraid","Perhaps, but I can't see it as more than friends, I'm afraid"
"I'd go for a 7. Nice company, nice food","We've swapped numbers and I'll to try to make it to his gig. There was no spark for me, so it would be just as friends. Sorry"
"Whatever number she said, but +2 as I'm a gentleman and all. Cop out, I know","I hope so. I've been busy or away, so we'll see when I get back"
"9.Would you meet again? I'd be up for it. We swapped Twitter handles (I choose to think of this as only geek-chic, not nerdy), so we'll see","I'd be up for it. We swapped Twitter handles (I choose to think of this as only geek-chic, not nerdy), so we'll see"
"6 or 7 – great conversation, but we didn't have loads in common.Would you meet again? We follow each other on Twitter, but I'm not sure we'll meet up","We follow each other on Twitter, but I'm not sure we'll meet up"
"Not a fan of marking, so I'll skip this bit.Would you meet again? I don't think so. It was a nice evening, but I don't have any romantic inclinations"," I don't think so. It was a nice evening, but I don't have any romantic inclinations"
"8.5. Would you meet again? Sure. I know Aoife enjoyed the night, we talked at ease, and I would be interested in taking Aoife out for a coffee, or a drink","Sure. I know Aoife enjoyed the night, we talked at ease, and I would be interested in taking Aoife out for a coffee, or a drink"
How do you quantify an evening of free food and cocktails with a pretty girl?Would you meet again? We haven't made any plans,We haven't made any plans
"7.Would you meet again? Probably not – he's a really nice guy, but not for me","Probably not – he's a really nice guy, but not for me"
"7.Would you meet again? Yes, as friends. It would be great to hear about his trip to America","Yes, as friends. It would be great to hear about his trip to America"
"Definitely close to Alastair Cook or Jimmy Anderson's rating for the last Ashes series.Would you meet again? I'd certainly like to, although it would probably be as (all together now) friends for the time being","I'd certainly like to, although it would probably be as (all together now) friends for the time being"
"It's rude to mark a person.Would you meet again? No. I think Rich is nice, but I know way too much about him already for it to be interesting","No. I think Rich is nice, but I know way too much about him already for it to be interesting"
"9.Would you meet again? Sure, but probably not on a romantic level","Sure, but probably not on a romantic level"
"I don't like to mark people. He was a nice man and we had a fun night.Would you meet again? Maybe, but only as friends. I gave him my number, but I don't have any romantic intentions","Maybe, but only as friends. I gave him my number, but I don't have any romantic intentions"
"10. It would be churlish of me to award less. Would you meet again? We swapped numbers and, if the occasion presents itself, I would be pleased to socialise again","We swapped numbers and, if the occasion presents itself, I would be pleased to socialise again"
8.5.Would you meet again? Yes. I said I would take him to some good galleries as he hasn't lived in London that long,Yes. I said I would take him to some good galleries as he hasn't lived in London that long
"8.5.Would you meet again? I'd like to – we've swapped numbers, so hopefully we'll catch up again soon","I'd like to – we've swapped numbers, so hopefully we'll catch up again soon"
8.Would you meet again? Possibly as friends!,Possibly as friends!
"7 – good conversation in a nice setting.Did you go on somewhere else? Yeah, to a local bar for a nightcap and to exchange numbers.Would you meet again? I don't think so. There wasn't a spark, although she was very warm and bubbly","I don't think so. There wasn't a spark, although she was very warm and bubbly"
"8 – great date. Would you meet again? He's a cool guy but, without sounding like too much of a cliché, just as friends","He's a cool guy but, without sounding like too much of a cliché, just as friends"
"How reductive! Go on then, but you'll have to work for it: 1 + 5 ÷3 + 8 x 0.9 = ?Would you meet again? We already have – it didn't go so well. We'll see what the future brings, but I haven't quite bought the engagement ring just yet","We already have – it didn't go so well. We'll see what the future brings, but I haven't quite bought the engagement ring just yet"
7,Probably not
This is a hugely difficult question. But I think 8½ or 9,"We had lots to talk about and a lot in common, so yes"
8. Would you meet again? I'd give meeting up a go,I'd give meeting up a go
"8.Would you meet again? I've got her number, so let's see what happens","I've got her number, so let's see what happens"
"I can't really think of any bad points, so I'll go with 9.Would you meet again?Definitely as friends. I might check out one of Sam's hip-hop jams",Definitely as friends. I might check out one of Sam's hip-hop jams
"I wouldn't rank a lady out of 10, but she was lovely.Would you meet again?Yes, but probably as friends","Yes, but probably as friends"
"6.Would you meet again? No, pretty unlikely","No, pretty unlikely"
"A definite 8.Would you meet again? It was clear to me that, despite Elizabeth's many great qualities, we are stars from different galaxies and our orbits seem unlikely to coincide again","It was clear to me that, despite Elizabeth's many great qualities, we are stars from different galaxies and our orbits seem unlikely to coincide again"
"This is the bit I always think is unfair, but to keep in with the spirit of things, a solid 9.Would you meet again? We swapped numbers…",We swapped numbers…
8.5.Would you meet again? Yep!,Yep!
"10! It's only polite. Would you meet again? Yep, but probably not romantically","Yep, but probably not romantically"
"9.Would you meet again? Yeah, I'd like to","Yeah, I'd like to"
"6.5.Would you meet again? No. I wish Trevor all the best. However, he is not the man for me","No. I wish Trevor all the best. However, he is not the man for me"
"8.Would you meet again? Yes, but only as a friend","Yes, but only as a friend"
Definitely a hefty few.Would you meet again? As long as it's less than five miles from the coast. Any coast,As long as it's less than five miles from the coast. Any coast
Eight.Would you meet again? As friends,As friends
9.Would you meet again? The plan is to meet for a civilised cream cake,The plan is to meet for a civilised cream cake
"9. Would you meet again? We have a shared passion for a certain patisserie and swapped numbers, so…","We have a shared passion for a certain patisserie and swapped numbers, so…"
7.Would you meet again? Probably not; I'm not sure he would take well to my bike and run-down old car,Probably not; I'm not sure he would take well to my bike and run-down old car
7.8.Would you meet again? We have texted a bit since,We have texted a bit since
"Peggy would be pretty high on anyone's scale.Would you meet again? Yes, I had a great time. This assumes she doesn't do a hatchet job in her review","Yes, I had a great time. This assumes she doesn't do a hatchet job in her review"
"8. Nice company, good food and an all-round lovely evening.Would you meet again? Yes, it would be nice to see him again","Yes, it would be nice to see him again"
"7.Would you meet again? Probably not, but I may show my face at one of his gigs","Probably not, but I may show my face at one of his gigs"
"8.Would you meet again? Yeah, but just as friends. I think she might come to one of my gigs, which would be great. Although after she reads this, I fully expect her to throw something at me","Yeah, but just as friends. I think she might come to one of my gigs, which would be great. Although after she reads this, I fully expect her to throw something at me"
"7.5 – fun company, but there wasn't a spark.Would you meet again? Yes, but not dating. We exchanged numbers and had a few sneaky kisses between the main course and dessert, but agreed not to take it any further","Yes, but not dating. We exchanged numbers and had a few sneaky kisses between the main course and dessert, but agreed not to take it any further"
"9.Would you meet again? I think it would be fun to hit the town again with Duncan, just perhaps not on a school night","I think it would be fun to hit the town again with Duncan, just perhaps not on a school night"
7 for a very pleasant evening. Would you meet again? Probably not. But I'll bear him in mind if I ever need any oil shipping,Probably not. But I'll bear him in mind if I ever need any oil shipping
"I'd never score a lady out of 10.  Would you meet again? As enjoyable as our evening was, I'm not sure we will be keeping in touch","As enjoyable as our evening was, I'm not sure we will be keeping in touch"
"6.Would you meet again? I'm afraid I wouldn't go out my way to see Tom again. As much as he is a lovely guy and we had a wonderful date, we really didn't have much in common. I think he needs to find a girl his age or younger, also a student, who also likes sci-fi novels","I'm afraid I wouldn't go out my way to see Tom again. As much as he is a lovely guy and we had a wonderful date, we really didn't have much in common. I think he needs to find a girl his age or younger, also a student, who also likes sci-fi novels"
"7.Would you meet again? It was a lovely evening, but most likely not. I could tell she was out of my league from the start","It was a lovely evening, but most likely not. I could tell she was out of my league from the start"
"7.Would you meet again?I wouldn't say no to another meet-up, but probably just as friends","I wouldn't say no to another meet-up, but probably just as friends"
"8Would you meet again?Yes, as friends","Yes, as friends"
9,Yes!
8,"Yes, if we can find a musical that Clare has not already seen!"
"7. Great restaurant. The conversation meandered rather than flowed, no spark but an enjoyable evening",We didn't make any plans to
I would have to give the whole evening 8,"As friends. We had a lot in common, but I don't think the spark was there"
8. She was good company and I had a great evening,"I think we'd both agree there weren't any sparks flying, so if we do, it will be as friends"
"I'd give the evening a 7 – the food was nice, the venue relaxed","I invited him to come running with me, but he wasn't sure he'd be able to hack the pace"
7,"I was very interested in the excavations at Colchester and I would like to see them in the spring, hopefully with her"
7,"I'm not a qualified medic, and he doesn't like dogs, so probably not, but we exchanged email addresses and I have sent him data regarding the Roman excavations"
"9.Would you meet again? Yes, it would be nice to meet again for a pint","Yes, it would be nice to meet again for a pint"
"8.Would you meet again?The night after I came back from the interview I got together with someone I'd had my eye on for a while. I hope Rita has similar good luck, and soon, because she's a winner","The night after I came back from the interview I got together with someone I'd had my eye on for a while. I hope Rita has similar good luck, and soon, because she's a winner"
"8.25… that's hefty praise. Johnny Depp, David Bowie, Flight Of The Conchords, all of whom are the Gods of All Men, all score a 9","Probably not. We lacked the magic sparkiness, but he's a hottie, so he won't be on the shelf for too long"
"8. The food was excellent, it was a really nice place and I was very relieved that it turned out out to be such a pleasurable experience","Yeah, I'd be up for hanging out again"
"I'd give the night a 6, because I never felt totally relaxed. We never seemed to open up and get over the stage of being polite and asking standard questions. Would you meet again? I may give her a cycling lesson – she wants to learn how to ride in London",I may give her a cycling lesson – she wants to learn how to ride in London
"6.5 – the food was divine and I enjoyed bowling (even though I was crap). He's a nice guy, but not my cup of tea. Sorry! Would you meet again? If I want to take up cycling, I'll definitely get in touch","If I want to take up cycling, I'll definitely get in touch"
"He's good boyfriend material, but not for me. For the evening, 8.Would you meet again? We talked about meeting one Sunday on Hampstead heath to walk my dog and have some lunch",We talked about meeting one Sunday on Hampstead heath to walk my dog and have some lunch
9.5.Would you meet again? Friends are buying hats,Friends are buying hats
"8.Would you meet again? Will was a lovely chap, not my usual type, but would be nice to meet up again for a drink or two","Will was a lovely chap, not my usual type, but would be nice to meet up again for a drink or two"
We drunkenly agreed to rate each other 9 and on reflection I'm still going for a 9.Would you meet again? Yes,Yes
"7.Would you meet again? Definitely for drinks as friends. We've already said we'll meet up soon – Mal has promised to show me how to dance properly to jungle music, although I may be better than him as it stands","Definitely for drinks as friends. We've already said we'll meet up soon – Mal has promised to show me how to dance properly to jungle music, although I may be better than him as it stands"
8.Would you meet again? It would be nice to have a chance to chat in a more relaxed atmosphere,It would be nice to have a chance to chat in a more relaxed atmosphere
"9Would you meet again? Sure, we've talked about it","Sure, we've talked about it"
"A solid 9.Would you meet again? Yes, we've made plans","Yes, we've made plans"
"I would give the date a 6. Very fun evening and the food was amazing, too. Helen was a great girl, but was just unfortunately not my type.Would you meet again? Definitely, in a friendly situation","Definitely, in a friendly situation"
"7. Actually, 8 because he said of all animals, I am like a swan, which I thought was quite a compliment.Would you meet again? He's a lovely guy, but I think Cheryl Cole might be in with a better chance","He's a lovely guy, but I think Cheryl Cole might be in with a better chance"
8.Would you meet again? Maybe for coffee if our paths happen to cross,Maybe for coffee if our paths happen to cross
8.5.Would you meet again? Yes,Yes
"Emily is a really nice girl, but there was no attraction: 4","No, but I'm sure we'll bump into each other at some point"
7,No – we had very little in common. But it's a mark of what good company she is that I still managed to have a lovely evening!
"8.5. Would you meet again? We have been in touch, and we might meet again, but only as friends","We have been in touch, and we might meet again, but only as friends"
"9. Would you meet again? She's great fun, so it'd be good to see her again sometime","She's great fun, so it'd be good to see her again sometime"
8,We swapped numbers
7.5,"Yeah, we've planned to"
8,"I hope so, as friends. It was a lovely evening, but I am not sure either of us is quite ready for romance again"
It's crass to try to quantify. Let's just say she gets top marks for being a delightful dinner companion,"We've already exchanged emails, and may well meet up again, but I don't think either of us feels a compelling need"
"Arrghh, never rated anyone… erm, 8?",Who knows! Maybe another drink?
7,"Yes, as friends, though I would have to go to Liverpool as Manisha is not a fan of Manchester"
9 for sure,"We exchanged numbers, so let's wait and see"
A pleasantly surprised 9,"We exchanged numbers, so I think we'll have a drink sometime again away from the whole slight-weirdness of the blind date scenario"
7,I'd certainly share a vodka martini with him
6.5/7,We just might
"9.Would you meet again? We have been in touch, so will see what happens","We have been in touch, so will see what happens"
"9.Would you meet again? I would like to see Alex again, hopefully she feels the same!","I would like to see Alex again, hopefully she feels the same!"
8.5,"We're both off to Bestival on the Isle of Wight in a few weeks, so we might have a pint together there"
"10 – a lovely evening and a great experience.Would you meet again? I enjoyed the night and thought we got on really well, but I'm not sure if we'll arrange to meet up again. We're both going to the same music festival in September, so it would be great to run into her and catch up then","I enjoyed the night and thought we got on really well, but I'm not sure if we'll arrange to meet up again. We're both going to the same music festival in September, so it would be great to run into her and catch up then"
"9.Would you meet again? Only as friends. I wasn't physically attracted to Matt, but found him to be a warm, charming and very nice bloke","Only as friends. I wasn't physically attracted to Matt, but found him to be a warm, charming and very nice bloke"
"A great evening, lovely company, so it's definitely a 9-10.Would you meet again? We said we would. I'd like to",We said we would. I'd like to
"7.4. She could have got an additional 0.6 points if she'd prescribed me something for the brainfreeze.Would you meet again? It was fun and Ali was very nice, but could I ever love a woman who doesn't like Morrissey? That was a deal breaker, I'm afraid","It was fun and Ali was very nice, but could I ever love a woman who doesn't like Morrissey? That was a deal breaker, I'm afraid"
"9.Would you meet again? I'd like to, and he took my details, so we'll see!","I'd like to, and he took my details, so we'll see!"
"8.Would you meet again? Yes, he's got an invite to my birthday","Yes, he's got an invite to my birthday"
"8.5.Would you meet again? Yes, although I think it will remain just as friends","Yes, although I think it will remain just as friends"
"Surely only morons mark people out of 10. The food was good, though. That can get a 9.Would you meet again? In heaven, yes","In heaven, yes"
"Very high, up until the theory about most people being boring. Would you meet again? Tom had a complicated romantic involvement already and I don't date people who are attached",Tom had a complicated romantic involvement already and I don't date people who are attached
"8. Everything was great, just not 9 or 10 quality!Would you meet again? Yeah, I'd like to","Yeah, I'd like to"
"He's a lovely guy, but basing the score on whether we'd date each other, it has to be a 6.Would you meet again? Yes, but just as friends. Sadly, there was no spark","Yes, but just as friends. Sadly, there was no spark"
"8.Would you meet again? I'd like to, as friends. I'm not sure how Coelina feels. I don't think she's ready for this jelly","I'd like to, as friends. I'm not sure how Coelina feels. I don't think she's ready for this jelly"
"7. Combining great food and company, the evening was definitely a lot of fun, especially with the great staff at the restaurant. They were hilarious when I first arrived and had no date.Would you meet again? We have chatted online. Although a true gent, not quite my cuppa tea, but if his stand-up comedy takes off, I will definitely go along to support him","We have chatted online. Although a true gent, not quite my cuppa tea, but if his stand-up comedy takes off, I will definitely go along to support him"
"8.Would you meet again? Yes, we swapped mobile numbers and agreed to meet again","Yes, we swapped mobile numbers and agreed to meet again"
"9.Would you meet again? We've arranged to, yes.• Ted and Anna ate at Galvin Bistrot de Luxe, London W1, 020-7935 4007","We've arranged to, yes.• Ted and Anna ate at Galvin Bistrot de Luxe, London W1, 020-7935 4007"
7.5,"I had a really enjoyable time, although I didn't feel any romantic spark"
7 or 8,"Yes, but purely as friends – sorry!"
"7. If he'd sworn less, I'd have given him more. Would you meet again? I'd like to. He's fit, he made me laugh and it was good banter. We kissed. I think if we were both in the same country for more than five minutes, we'd go out and have a laugh. But he's off to Australia and I'm off to Singapore. Maybe we'll rendezvous in Terminal 5","I'd like to. He's fit, he made me laugh and it was good banter. We kissed. I think if we were both in the same country for more than five minutes, we'd go out and have a laugh. But he's off to Australia and I'm off to Singapore. Maybe we'll rendezvous in Terminal 5"
"I'd give her a 9 as a dinner companion. Would you meet again? Definitely. Obviously I'm off to Australia with England, and I live in Paris, but in terms of being a nice person, she was perfect","Definitely. Obviously I'm off to Australia with England, and I live in Paris, but in terms of being a nice person, she was perfect"
12. I hope he doesn't say I'm a nightmare.Would you meet again? I'm definitely seeing him again. He's coming to see the show,I'm definitely seeing him again. He's coming to see the show
"9 – I couldn't fault her, but I've got to save some degree of manliness. Any more than that and I'd look a complete buffoon. Would you meet again? Definitely. She's invited me to her show – and she's going to take me to see the cape-wearing monkey",Definitely. She's invited me to her show – and she's going to take me to see the cape-wearing monkey
"Oooh, 9. I really enjoyed it. I had an impression of Peter – based on what I'd seen on TV – that he was a bit overly serious. He's actually not like that. I had an impression of him that was fairly narrow and he is actually much more rounded. We got on really well. Would you meet again? Yes. We've been emailing and it would be nice to go out for dinner. I'm interested in the work he does. He has dedicated most of his life to representing other people for almost nothing and gets no recognition at all. Peter does have a fan in me",Yes. We've been emailing and it would be nice to go out for dinner. I'm interested in the work he does. He has dedicated most of his life to representing other people for almost nothing and gets no recognition at all. Peter does have a fan in me
"8. He'd make a good boyfriend, definitely.Would you meet again? I'd like to keep in touch with Richard. We have very hectic lives and commitments, with lots of travel. If we were partners, when would we ever see each other? Richard likes skinny men, so that's me. But we both have a recent history of younger partners. I am open to the possibility of dating someone in their 50s, but it is probably a bit of a challenge for him and for me","I'd like to keep in touch with Richard. We have very hectic lives and commitments, with lots of travel. If we were partners, when would we ever see each other? Richard likes skinny men, so that's me. But we both have a recent history of younger partners. I am open to the possibility of dating someone in their 50s, but it is probably a bit of a challenge for him and for me"
"9. I'm taking a point off for my table manners. She didn't do anything wrong. You couldn't ask for a more perfect date.Would you meet again? Yes, happily","Yes, happily"
"I'd give it an 8. It was great conversation with a lovely man who was interesting, warm, self-deprecating, kind and intelligent.Would you meet again? He said he's going to take me out in his aeroplane. I don't know whether there'll be any romance, but he's a lovely guy and I'm sure we will cross paths again","He said he's going to take me out in his aeroplane. I don't know whether there'll be any romance, but he's a lovely guy and I'm sure we will cross paths again"
"8, and a bonus point for not ordering foie gras","I think we could have a lot of fun and good conversations, so I hope so – but I can't see it as more than friends, I'm afraid"
9,"Yes – for what, who knows? I know it would be fun"
7,"I am sure we will, but as friends"
"Anything less than 10 would suggest I could find faults in him, which I couldn't, so 10",We have swapped numbers and I hope we can meet up again soon
A strong 9! We got on well and the meal was awesome,"I'd like to. We swapped numbers, so who knows?"
8,"Yes, as friends, but I don't think romance is on the cards"
8.5,"Neither of us swapped numbers, so I guess no. A shame, as she was great company"
7,"I enjoyed his company, but didn't feel there was any chemistry"
,
,
A hearty 7.5,It would be nice to
8,
8,"No - it was a good evening and I enjoyed it, but I don't think there was any spark"
9,"Yes, it would be a pleasure"
10,I'd certainly like to see Nicole again socially - she's great company and a wit
5,"I don't think we'll arrange anything, but Brighton is a small place and we'd stop to chat if we bumped into each other"
,
,
10,Yes. Romantically? Why not? We exchanged numbers and he texted me later to say he'd had a lovely evening
8,"We swapped numbers, so maybe - if only to find out how Venice was"
,
,
,
,
"Highly enjoyable, so at least 9 out of 10, if not full marks","Yes, already agreed"
"I find that meaningless. But for your purposes, high",We will. I think he values friendship
7,"We swapped numbers, but I don't think there will be any romance, sadly"
7,"She didn't seem that interested, so I doubt it"
"5 for the match, 8 for personality",Not in a romantic way
7,I didn't detect any chemistry and we didn't swap numbers
7,"Definitely. We'd probably both agree that it should be platonic, but he was an excellent drinking pal"
9,Yes - for a drink and see how things developed
8,"Maybe, but not romantically. Also, he didn't compliment me and I did him (on his shirt)"
8,"Yes. It would be interesting to be in our own environment, where we could have a bit more craic. I reckon we could have a laugh"
8,"As long as she wasn't feigning interest, yes"
9,"Yes, definitely - as friends for the time being. We got on really well, so it was a good start"
